raw_link,news_link,
https://news.google.com/rss/articles/CBMitAFBVV95cUxQYVM0UE9za3h5bTFyTVppbWE0V2FwTmtrR0c0VG5Ubld5WnhUSVdVRzdCWDBIM3JVUmZVa1FiUUFzNHlvS1paajhlU2UxSllhQ2dhMWlLOTVERWZ2YXJUdmtaOHFGYzZfNGRQZV95LXR3dC16SFJSOFFJRlAyS01Oa1BDZXVqTXRGdjVqVlkwVXBEZURhMDFtNjB1Sno1RHNwaTVsQl9OQ3hCNGl0R19USm5lSUfSAawBQVVfeXFMTUlnR0pPcjVmei11YjlWOXRqUXRVRXdfVzhwdWt4WXl4bzh0RkJjRTB1bDhlUGtRejJYNXZsZWpZSTNnVWwtUWo1ZXlWQjdZT1lvU0VnRHJTQ0NMYmROSEZ2aVdjWktlN19tbElkTnpHZHZzdi1pUHliWHdVVjRNT280ZHNLczN4amRQWFEtRGdObHkxYXlmZWJEdFRSTHE4UGhUcUIzSlZGRDdzag?oc=5,https://www.bola.com/news/read/6147061/operasional-transjakarta-dan-jaklingko-hampir-100-normal-ini-daftar-rutenya,33.3
https://news.google.com/rss/articles/CBMinwFBVV95cUxNNjRxemxMNFdlUzBVcjlnX3c3RXZ3UDRvOHBXVlpWUHFta1RTMS1lZWw5RzJZdnktaXkydlVLcG5tTVpUY3JQYURyRUc0RG9jOTlyUXpFRXRIRC1oVktxU0pUbVRvNWI2dVQ1SXZjSWd6TTJsRHpQNlNhd192ZmpBRWE4QXhqYl9Da1dweGZfcEhIbjVpbXZrbFBrd3dMaGvSAacBQVVfeXFMTjFRSXYtSmFQaUpTZXhJTG5Icm1WMHhrOS1DM3ZfYlRMeVdUSFBkM0UyQV8wUWE0ZGZ6UjRfMmZlaUNfNWo1akxtQkdiNktnR2ZQWHZreHFZalhTRjJfdDdUeGR5RDVjSjV6R2tVZWkyTnNqdWhYV0JKVk56azBUbmpPS2d1MmpsZkU2cDAwNXNmOTJUQW8xZUljazRGNW1yaWxGVEdjU28?oc=5,https://kumparan.com/jendela-dunia/rute-jaklingko-48a-untuk-penumpang-setia-mikrotrans-251atF2e7zB,7.03
https://news.google.com/rss/articles/CBMiwwFBVV95cUxON3J0dU5oMU1JVVhFYTRBQjFqSTNjOGJxR0pPcTVDZGZ3OEVVM0U1S3dqNkxxN2J0TkV4MGh5TmxjWVZ1U2xuY19fWjZHVXRjZUR4YVZKaURXRnZVMndZNmNSaWxRb1V3cTl4RVFQYi15NENfdXRJdXlwY2Fhck1tV2xOalUtNHdlOUZGRjJqMEpzSkdLU0d4cDlsVmhFX0NNY1EtVy0xV1d1cmd5bmJ6OFlxalVzYWVjZThhNTlZeGEyMGc?oc=5,https://megapolitan.kompas.com/read/2025/06/11/14224591/usai-transjabodetabek-pramono-bakal-perluas-jaklingko-hingga-ke-bogor,30.01
https://news.google.com/rss/articles/CBMixwFBVV95cUxQU013Snk1UXN4TE9pUk8xNGxJMDRPTU9DeXhoMUp3U0k4SXEzWkl1cThTdGRhZGVXR2F0cFYwRkFpUzE3dlFGRHY0dEVCMHJJVE1rRkNCUndUMHZNam1UVGtkOS1aM29ydFZWdzVTTTZjaDJHX0NxQkhiSnlyQkhvNlc3NWkxek90SVVMQU5JWDlLVC1xVEFTR3hLNUdoMEZVVnVJYjFNaHYzSnhOVDRJTzJlU05Qbk1JdnNPeDRhbVBPbGVzY3kw0gHMAUFVX3lxTE1ndlByMk1vMC1BRENacUdkdnJDY2IzRzA1SDZaTFlfQkY5cmlFblZjVU9Rak0tekM3TnRpYjZMR3RKOV9pSnQ4TjVnWkhXaUZidk1FMndJdjJGUG1IOUZtTGJUaXZWVS1OZmRRUEtMbzdaQ1Z1bXkzaFBpcjlMaTlGblhYRFY2ZXREWGR0R3pGLVNxbFBEQzA4b0NiUDdKSGZzQmtib1BvTGJ6YWlSV1R0YTdrU28zOHVrS2hveTdBc00zOWIyc19uQ2pzdA?oc=5,https://travel.detik.com/domestic-destination/d-8116306/perpustakaan-jakarta-spot-literasi-hits-dekat-stasiun-dilewati-jaklingko,30.02
https://news.google.com/rss/articles/CBMitwFBVV95cUxPeUZFOXJpbHZUdjhtczl5TWdIdEtHdk9ld2VPbVNlV0llRXUzMEVFeDROcnh3dGJhcE94a09BN1BWTElBUHR2alk0RFpCZjJnQzN2djZjQ3hUTGwycEQ5emw3eGdfVDBBRlYyTzE2WldvVkU2blhxLVBFNTkzbUM3MUN6TW8zMVFJa3gzcDZQQTBmaks0QWpiMkYxWVBZVlNkT1BEYU5tVkxrdmFjd29UTDVCS0JDTFnSAb8BQVVfeXFMTzFUdmpwWkcwT1VYSElJWEZ2eWNmR3NwdDFxanp2S1FDZzVxcGo2ZElvOXlkQ0dDcWR5Z01hUHE3WEtxQVVOM0ZTbTlRRWx5ckU4cGFOZjVwT0FnWVhjYjZ4OVpXR1ZYSzY0ZTB6ek1jZWdwS1pScHVKdmJrRXNral82VnNWejJkOXpsWHJxaVdsbGphTnV5Tm95MTVKZVY2V1A1S2VJNF9ub2xBTWRtZkw3WjZwRWxYZFk0NF9fTkE?oc=5,https://kumparan.com/jendela-dunia/rute-jaklingko-42-dari-terminal-kampung-melayu-2-ke-tpu-pondok-kelapa-251meJ3S1cz,7.95
https://news.google.com/rss/articles/CBMirgFBVV95cUxPMW53RnBWVGI5S2VCeTF4LTZMRC1QUFV1YVFad3NLcGhCWXF0T01XOWQtcF92amZ5UzZ0eEw0eEV0bTJ6Y0Q4UHg3RFRVWUVyQ25rUDFZblJCUS03YnlWTkV6d2hGSlhQMjRET25tbG9VQkNrZXl3YTVKTzlFaUpaN3o3RXowSjZHRl9XSnpvWjNSM2Z5dXF2U1NOUnFZUm5EMEpTcW5xU1VfMTIxT0HSAbYBQVVfeXFMTUpzalNrTVd2dzdpMnhNODhEcm1tdEttX1Bqd01ic2N6bkh2LWI5bkE0SWRVQ0sxZndqYW9QNnlxb3Z1QlAtaEUtbFVkRHZjcVJYMlFRSElOMHN0aG9DRWxsbDE4Nl9RSVRlOE01NTZoTE9kUGlzMkhjdFlqT2VGa1FOUXpCUWdFakgtZUdLT1ZpZXBvbDFYMGZ4UXp3UU1oWXV1eHAzdDlqWWRHSWNaNXVYVGtCa3c?oc=5,https://kumparan.com/kumparannews/ada-genangan-jak-lingko-rute-lebak-bulus-pasar-minggu-dialihkan-25qCoj0phYN,17.86
https://news.google.com/rss/articles/CBMivwFBVV95cUxPdUZCOWRvWkxsTUdPY24yamRxbGdtUlpiMkphUXhNMFB5ZGwyY2pPdnNOazlLMi1hU2dDM1VNdnkzNnp1ZkZUSmk1RVVOUkVIOFFKUmJHLUJNRG16NGNCVkNhSS1qS1RmbmVPRWJoMXljeHRDR1c5clJPUk1nNEVmc0JVby1xekFFSF93VUFTelllazVLTTN0MHNHMFRmbHNtb0NEYmN1Q0M3NERDdEE3RFE1THJJUXl5M3hxYzNocw?oc=5,https://megapolitan.kompas.com/read/2025/06/18/10104451/sopir-jaklingko-cekcok-dengan-sopir-lain-di-jakbar-gara-gara-miras,1.97
https://news.google.com/rss/articles/CBMipgFBVV95cUxOZEFSYU9MSDlYSXM5Wi1OanBuMDNMaGVFRWpiX2RxelRJak5tWHFWTkNhTzh1WXhTbHJHVWhFb1RfRFkxMXhETnJpbUw5NjdMb0ZIa2JENDFUbWItR0EyUVBtZHFJS1p1MGMxbUxDb0thVTdoU3BISTJEcl83MjhfLWZVYVd6eHdXdkhpRlhJVlRXNWdNSmpuYkhpMEQ3TmdpdmRLMWF30gGuAUFVX3lxTE5Eamc3VzQ2QTIyZl9taDhueVFpZzlpcTF3dUdqUTA2X0VGaFlXWThwNmpYQjVJZG83N3c2YWV2OUNPZG9EM2Q5bjh1dGF1ak80WlBBRkpIcGp2N1BqX0ZkNEZsMFhDN0UzZ1RtUHg5RE5IT0JaUjZNSUx5R05OQkhQSmZjbUR0d09TdkVKeEo4NWUzaURST2ZOemJtaUNKMk0tRTF5bjJSek5GX2Uxdw?oc=5,https://kumparan.com/jendela-dunia/apakah-jaklingko-beroperasi-24-jam-ini-info-selengkapnya-25Sf8GCnNBa,7.19
https://news.google.com/rss/articles/CBMirAFBVV95cUxNenEyMmNYakhZWk8wMS1ia3dZODEwVU5ZYW1hVUpNUXgtNFhlTWdYcG1TMGtVX2VGR2ppaG9NZnlHUHgxbVBTY243YkRqSG1qT0xWWTJKNlZ2NklzLVJhYmtnM2ttRHlNWXQ1bmhxVm95TFc5SW9xdTF5czlOUTBROER0WkFwS3l5bnNKclc0NmdJdmM1RXZTSmhJYlBHMjFqZXYyVUYyM2N0c2Ux0gG0AUFVX3lxTFBaMWJMUldzX3YtWVRnS2NqZVRmT29PVGRzcnU5dXFDQ2puRl85TURodHNVeUxNWE9wVHpBZGY3Vm0zaFRFNXVKTkNaZkxnVEdfRjBrMzhwX1Z0Q0J6c0NmblZkYlRhaXEwUnVlZThFU2pPSzZhbEF4Rkg3Sl82N1JDdkQtNzloS0tFaU1YeC04bGd0TUtyTFEzQjQxd21mWjlwT282SEFBaVNZS3ViX2lxdkhrZA?oc=5,https://kumparan.com/jendela-dunia/3-penyebab-kartu-jaklingko-tidak-bisa-digunakan-dan-solusinya-24tUtTZotXO,9.88
https://news.google.com/rss/articles/CBMi2AFBVV95cUxOMUxQVWw5MUlZUVVTUEh5UGJLSFNaZkxaNVdhYVN2YzlDNTkxVndrOG9oakFkclgyU3R1Y3J4R3JuRUluYy13ZFQwdVY4SWtfdkVvTEE2MS1hWHN1N3p1ZFlmZnNBYWpINE9kYzdMcHFvbHFCeXM3RDNJT0N0dkpfTGQxQk9FSlhPTVRKcDFWaGNwdnVXaElLTndwUjVjLVR3TXRqVUU0V2puQ1ItMlV1VlRtb2hWNjQtLVhNMVlCdFN3dXItRGp2c3pHS0pWVkpVUnc4dFhIVk7SAd4BQVVfeXFMT0N3NjVIa3RjdEtoenMzSEVkd0o3eFloT0FpU1h1VFRZcDR6V011VzFjcDdEbDFCX25Jc1lUdFJ5QkRnQ3lOdTQ0aXlfWmxsNUFnWjVRNUFSTE05azZnNVA1dmE5cmJKQWxKd1l4WGRCcDkzMmJBS0FOVEw2SHFlZThXZDBpTV9TYXlPVUFRWm5xWnl2eHk4aUl1Y1p2aDJFVlc1eE8wYjZVRlNSNml6cDNfUUdTSjBjMHRVVGhVNHRDVUplWTR6LTZGN2pIdVJRcjR2ZzlRdVk2MmxzMW5n?oc=5,https://www.jawapos.com/jabodetabek/016611077/istri-ngamuk-hentikan-angkot-jaklingko-di-rawa-belong-gara-gara-suami-lirik-penumpang-perempuan,3.67
